UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Number
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,215
10007759,Aston University,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2015/16,170
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2016/17,605
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,665
10007759,Aston University,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2016/17,0
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2016/17,125
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,215
10007759,Aston University,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2016/17,315
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2017/18,660
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,680
10007759,Aston University,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2017/18,0
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2017/18,125
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,215
10007759,Aston University,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2017/18,440
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2018/19,715
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,760
10007759,Aston University,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2018/19,0
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2018/19,130
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,215
10007759,Aston University,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2018/19,540
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2019/20,765
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,785
10007759,Aston University,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2019/20,0
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2019/20,140
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,245
10007759,Aston University,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2019/20,535
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2020/21,805
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,790
10007759,Aston University,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2020/21,0
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2020/21,125
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,225
10007759,Aston University,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2020/21,405
10038772,British Academy of Jewellery Limited,England,London,Full-time,Non-atypical,Academic,Academic,2020/21,5
10038772,British Academy of Jewellery Limited,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,
10038772,British Academy of Jewellery Limited,England,London,Full-time,Academic atypical,Academic,Academic,2020/21,0
10038772,British Academy of Jewellery Limited,England,London,Part-time,Non-atypical,Academic,Academic,2020/21,10
10038772,British Academy of Jewellery Limited,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,
10038772,British Academy of Jewellery Limited,England,London,Part-time,Academic atypical,Academic,Academic,2020/21,0
10007857,Bangor University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2014/15,665
10007857,Bangor University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,700
10007857,Bangor University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2014/15,0
10007857,Bangor University,Wales,Wales,Part-time,Non-atypical,Academic,Academic,2014/15,385
10007857,Bangor University,Wales,Wales,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,485
10007857,Bangor University,Wales,Wales,Part-time,Academic atypical,Academic,Academic,2014/15,660
10007857,Bangor University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2015/16,640
10007857,Bangor University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,690
10007857,Bangor University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2015/16,0
